,ID,DemAffl,DemAge,DemClusterGroup,DemGender,LoyalClass,LoyalSpend,LoyalTime,Region,TargetBuy
0,17147654,5.0,,,,Tin,0.0099999999999999,5.0,London,0
1,8415498,15.0,,,M,Gold,8000.0,5.0,London,1
2,12107603,,,,M,Tin,0.0099999999999999,,Birmingham,0
3,14400995,8.0,28.0,,F,Tin,0.0099999999999999,,London,0
4,28724674,14.0,67.0,,,Tin,0.0099999999999999,7.0,London,1
5,41251085,,65.0,,F,Silver,3000.0,3.0,London,0
6,43266179,7.0,41.0,,,Tin,0.0099999999999999,7.0,London,0
7,919551,13.0,50.0,,F,Tin,0.0099999999999999,5.0,London,1
8,2510294,8.0,36.0,,F,Tin,0.0099999999999999,9.0,London,0
9,3912957,,,,M,Silver,2000.0,1.0,Ulster,0
10,7212720,,,B,F,Gold,6000.0,1.0,London,0
11,8332525,,,,F,Silver,5000.0,12.0,Ulster,0
12,9117733,,,,U,Gold,18633.51,3.0,Bristol,0
13,9344462,11.0,59.0,,U,Gold,12000.0,9.0,London,1
14,10315063,13.0,,B,,Gold,6000.0,2.0,London,1
15,16286049,,57.0,,,Tin,0.0099999999999999,5.0,Yorkshire,0
16,17046734,5.0,,,,Silver,0.0199999999999999,5.0,Ulster,0
17,17126703,,54.0,,,Silver,5000.0,4.0,Ulster,0
18,21076081,,71.0,B,,Gold,6000.0,26.0,London,0
19,27334880,,47.0,E,,Tin,0.0099999999999999,8.0,London,0
20,28760395,11.0,40.0,,F,Silver,3000.01,10.0,London,1
21,29548268,6.0,,D,,Tin,0.0099999999999999,7.0,London,0
22,31461863,9.0,,,F,Silver,3000.0,,Ulster,0
23,31892031,17.0,52.0,,M,Silver,3000.0,9.0,London,1
24,31912709,,57.0,F,,Tin,0.0099999999999999,9.0,London,0
25,33017774,13.0,46.0,,F,Tin,0.0099999999999999,8.0,London,1
26,33050348,15.0,52.0,,F,Silver,2000.0,5.0,London,1
27,33050658,,,,M,Silver,300.0,11.0,Ulster,0
28,35944583,9.0,,,,Gold,6000.0,1.0,London,0
29,42645958,5.0,,,,Gold,6053.349999999999,5.0,Birmingham,0
30,42789089,5.0,58.0,,F,Tin,0.0099999999999999,8.0,London,0
31,43948857,8.0,34.0,,M,Silver,3250.0,2.0,London,0
32,46532309,6.0,,,,Tin,0.0099999999999999,8.0,London,0
33,26387,,72.0,,F,Silver,1250.0,23.0,Ulster,0
34,1191357,9.0,,,U,Silver,2000.0,4.0,Wales,0
35,1882015,,36.0,,M,Silver,4300.0,1.0,Ulster,0
36,2988283,9.0,72.0,,M,Tin,0.0099999999999999,,Bristol,0
37,3077632,,,F,F,Silver,600.0,,Wales,0
38,3516822,8.0,,,M,Tin,0.0099999999999999,4.0,Ulster,0
39,3648265,15.0,65.0,,F,Platinum,25000.0,,Yorkshire,1
40,3791270,8.0,60.0,E,,Silver,1000.0,5.0,London,0
41,3811859,7.0,61.0,,,Silver,4350.0,7.0,Ulster,0
42,3841197,15.0,34.0,D,,Gold,9000.0,8.0,London,1
43,3901661,,59.0,F,M,Silver,1000.0,5.0,London,0
44,4052153,9.0,43.0,F,,Tin,0.0099999999999999,8.0,London,0
45,4098625,12.0,71.0,B,,Gold,18000.0,3.0,London,1
46,4167236,,54.0,,M,Silver,2000.0,1.0,Ulster,0
47,4190335,8.0,61.0,,,Tin,0.0099999999999999,4.0,Ulster,0
48,4396251,7.0,,B,M,Gold,6000.0,1.0,London,0
49,4425014,,61.0,,F,Gold,16052.66,7.0,Ulster,0
50,5823323,8.0,66.0,F,,Gold,15000.0,13.0,London,0
51,5920191,,74.0,B,M,Gold,19215.21,1.0,London,0
52,6228690,9.0,66.0,B,,Gold,6000.0,2.0,London,0
53,6450598,,,F,,Tin,0.0099999999999999,4.0,Birmingham,0
54,6534988,7.0,,B,F,Tin,0.0099999999999999,8.0,London,0
55,6783996,7.0,45.0,,,Gold,6000.0,1.0,Cardiff,0
56,6822703,,,D,,Tin,0.0099999999999999,8.0,London,0
57,6841120,9.0,,,F,Silver,50.0,10.0,Ulster,0
58,6983081,7.0,,,F,Tin,0.0099999999999999,9.0,Cardiff,0
59,7147570,7.0,49.0,B,,Silver,2.66,13.0,London,0
60,7426496,9.0,71.0,C,,Gold,6000.0,1.0,London,0
61,8126658,10.0,,C,F,Gold,5300.0,2.0,London,1
62,8352666,4.0,43.0,,,Tin,0.0099999999999999,5.0,Bristol,0
63,8374481,,41.0,F,F,Silver,1050.0,7.0,London,0
64,8895570,5.0,,,F,Silver,100.01,8.0,Cardiff,0
65,9211098,7.0,,,F,Silver,0.0199999999999999,8.0,London,0
66,9491031,7.0,60.0,F,,Tin,0.0099999999999999,4.0,London,0
67,9529438,10.0,,,F,Silver,2000.0,13.0,Ulster,1
68,9530967,4.0,,,U,Gold,7500.0,5.0,Ulster,0
69,9835857,8.0,,,F,Tin,0.0099999999999999,9.0,Midlands,0
70,9879404,8.0,57.0,B,,Silver,2000.0,2.0,London,0
